"PNuid_NLidu","Name_en","Nom_fr","Province","Latitude","Longitude"
27,"Windsor","Windsor","NS",44.989112,-64.137718
121,"Londonderry","Londonderry","NS",45.474488,-63.602802
455,"New London","New London","PE",46.464564,-63.511313
708,"Windsor Junction","Windsor Junction","NS",44.783298,-63.633302
733,"Vaughan","Vaughan","NS",44.816699,-64.233298
1012,"Windsor Forks","Windsor Forks","NS",44.941046,-64.187801
1016,"Windsor Road","Windsor Road","NS",44.609551,-64.271949
1721,"Windsor","Windsor","NB",46.396145,-67.4087
1960,"Grand Falls-Windsor","Grand Falls-Windsor","NL",48.933053,-55.654695
2724,"Windsor","Windsor","QC",45.57506,-71.999079
2736,"Waterloo","Waterloo","QC",45.34397,-72.517182
3672,"Saint-Georges-de-Windsor","Saint-Georges-de-Windsor","QC",45.697815,-71.84399
4690,"Ottawa","Ottawa","ON",45.403412,-75.68709
5032,"Oshawa","Oshawa","ON",43.900555,-78.857222
5034,"Whitby","Whitby","ON",43.897837,-78.939233
5035,"Ajax","Ajax","ON",43.858334,-79.036389
5040,"Pickering","Pickering","ON",43.828049,-79.107962
5041,"Scarborough","Scarborough","ON",43.783263,-79.242236
5042,"North York","North York","ON",43.761945,-79.410279
5044,"Toronto","Toronto","ON",43.654858,-79.383218
5045,"Etobicoke","Etobicoke","ON",43.667075,-79.557305
5046,"Markham","Markham","ON",43.876389,-79.263334
5049,"Brampton","Brampton","ON",43.688333,-79.760833
5052,"Vaughan","Vaughan","ON",43.852859,-79.535724
5054,"Richmond Hill","Richmond Hill","ON",43.872455,-79.426895
5065,"Pickering Beach","Pickering Beach","ON",43.829723,-78.996389
5271,"Guelph","Guelph","ON",43.542384,-80.240383
5274,"Waterloo","Waterloo","ON",43.472022,-80.530122
5275,"Kitchener","Kitchener","ON",43.451204,-80.488043
5320,"Vaughan Survey","Vaughan Survey","ON",42.788334,-80.135277
5347,"Oakville","Oakville","ON",43.456069,-79.690102
5364,"Hamilton","Hamilton","ON",43.25757,-79.869281
5370,"Mississauga","Mississauga","ON",43.585555,-79.657221
5610,"Windsor","Windsor","ON",42.293488,-83.051395
5621,"London","London","ON",42.981772,-81.249056
6058,"Montreal River Harbour","Montreal River Harbour","ON",47.240884,-84.644573
6618,"Oakville","Oakville","MB",49.929401,-98.003901
7239,"Calgary","Calgary","AB",51.045834,-114.0575
7429,"Edmonton","Edmonton","AB",53.535845,-113.493732
7942,"Kitchener","Kitchener","BC",49.156652,-116.339452
8087,"South Surrey","South Surrey","BC",49.054281,-122.832917
8104,"Vancouver","Vancouver","BC",49.244798,-123.115387
8105,"Burnaby","Burnaby","BC",49.252088,-122.961708
8110,"North Vancouver","North Vancouver","BC",49.314238,-123.067197
8114,"Port Coquitlam","Port Coquitlam","BC",49.25668,-122.76166
8115,"Coquitlam","Coquitlam","BC",49.253916,-122.848809
8116,"Surrey","Surrey","BC",49.174479,-122.827771
9891,"Montreal Lake","Montreal Lake","SK",53.531361,-105.990324
50120,"Mississaugas of the Credit","Mississaugas of the Credit","ON",43.00001813,-80.095148097
50140,"Mississaugas of Scugog Island First Nation","Mississaugas of Scugog Island First Nation","ON",44.193973086,-78.880605095
50200,"Mississauga","Mississauga","ON",46.208346618,-82.998628358
50354,"Montreal Lake","Montreal Lake","SK",54.051736596,-105.786613604
51200,"Mississagi First Nation (Mississauga)","Mississagi First Nation (Mississauga)","ON",46.30971,-82.966792
101018,"Markhamville","Markhamville","NB",45.61098,-65.451345
101136,"Burnaby Heights","Burnaby Heights","BC",49.283134,-123.00129
101374,"Sunnyside, Surrey","Sunnyside, Surrey","BC",49.049802,-122.784611
101378,"Surrey Centre","Surrey Centre","BC",49.11647,-122.751278
101397,"West End, Vancouver","West End, Vancouver","BC",49.283133,-123.134627
101403,"West Vancouver","West Vancouver","BC",49.331111,-123.159722
101455,"Hamilton Road","Hamilton Road","NS",45.55486444,-62.7433148
2633,"Montreal","Montreal","QC",45.528995,-73.562068
